Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
3,2,800.0,Freehold,5.0,,Apartment,1.0,Low,Non Bumi Lot,Selangor,,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,269999.99999999977
3,2,1210.0,Leasehold,21.0,482.0,Condominium,,,Bumi Lot,Selangor,7.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000.0000000002
2,2,420.0,Freehold,,,Apartment,1.0,Medium,Non Bumi Lot,Selangor,,7,1,1,0,1,0,0,1,1,1,2.0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,225000.00000000015
3,2,750.0,Freehold,20.0,608.0,Apartment,1.0,High,Non Bumi Lot,Penang,,6,0,0,0,0,0,0,0,1,1,3.0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,340000.00000000006
3,2,1079.0,Freehold,,1188.0,Condominium,1.0,,Non Bumi Lot,Selangor,21.0,9,1,1,1,1,0,0,0,1,1,,1,1,1,0,0,1,0,1,1,0,1,0,1,1,219999.99999999985
3,2,1200.0,Freehold,,,Condominium,1.0,High,Non Bumi Lot,Johor,,5,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,380000.0000000003
3,2,1100.0,Freehold,,,Condominium,2.0,Medium,Non Bumi Lot,Penang,,9,0,0,0,0,0,0,0,1,1,2.0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,700000.0000000002
3,2,1051.0,Freehold,20.0,320.0,Condominium,,High,Non Bumi Lot,Kuala Lumpur,,7,1,0,1,0,1,0,0,1,1,3.0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,298000.00000000023
3,2,850.0,Freehold,5.0,400.0,Apartment,1.0,High,Non Bumi Lot,Selangor,6.0,3,0,0,1,1,0,0,0,1,1,3.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,295000.00000000006
1,1,388.0,Leasehold,36.0,756.0,Condominium,1.0,Medium,Non Bumi Lot,Johor,6.0,4,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,237999.9999999998
3,2,1151.0,Freehold,30.0,600.0,Condominium,2.0,Medium,Non Bumi Lot,Selangor,9.0,10,0,0,0,0,0,0,0,1,1,2.0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,424999.99999999965
5,4,2304.0,Freehold,30.0,808.0,Condominium,3.0,High,Non Bumi Lot,Penang,10.0,10,0,0,0,0,0,0,0,1,1,3.0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1680000.0000000012
4,4,2236.0,Leasehold,,73.0,Condominium,1.0,Medium,Non Bumi Lot,Sabah,16.0,5,0,0,0,0,0,0,0,1,0,2.0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1420000.0000000002
3,3,1087.0,Leasehold,12.0,200.0,Apartment,2.0,,Non Bumi Lot,Sarawak,,6,0,0,0,0,0,0,0,1,0,,1,0,0,1,0,0,1,0,1,1,1,0,0,0,550000.0000000001
3,2,770.0,Leasehold,34.0,1502.0,Apartment,1.0,Low,Non Bumi Lot,Kuala Lumpur,6.0,5,1,0,0,1,0,0,0,1,0,1.0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,398999.99999999965
3,2,700.0,Freehold,11.0,100.0,Apartment,1.0,,Non Bumi Lot,Penang,28.0,3,0,0,0,0,0,0,0,1,1,,0,0,0,0,1,0,0,1,0,0,1,0,0,0,269999.99999999977
3,2,969.0,Freehold,,1196.0,Apartment,2.0,Medium,Non Bumi Lot,Selangor,4.0,11,0,0,0,0,0,0,1,1,1,2.0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,505000.00000000006
3,3,1488.0,Leasehold,15.0,,Condominium,,High,Non Bumi Lot,Sabah,,12,0,0,0,0,0,0,0,1,0,3.0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,849999.9999999994
2,2,430.0,Leasehold,,1100.0,Service Residence,1.0,,Non Bumi Lot,Kuala Lumpur,2.0,0,1,1,1,1,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000.0000000001
2,2,1050.0,Leasehold,40.0,1360.0,Service Residence,2.0,High,Non Bumi Lot,Melaka,6.0,11,0,0,0,0,0,0,0,1,0,3.0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,524999.9999999998
3,2,1316.0,Leasehold,,,Condominium,,Low,Non Bumi Lot,Sarawak,,5,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,380000.0000000003
2,2,802.0,Freehold,,,Flat,3.0,High,Non Bumi Lot,Sabah,,2,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,109999.99999999991
3,2,852.0,Leasehold,12.0,,Apartment,1.0,High,Non Bumi Lot,Selangor,23.0,6,1,0,1,1,0,0,0,1,0,3.0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,299899.9999999998
3,2,815.0,Leasehold,,,Apartment,,Medium,Non Bumi Lot,Selangor,,0,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254999.99999999985
3,2,900.0,Leasehold,22.0,754.0,Condominium,2.0,,Non Bumi Lot,Penang,15.0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359999.99999999994
2,2,769.0,Leasehold,21.0,613.0,Condominium,,Medium,Non Bumi Lot,Johor,2.0,0,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000.0000000003
3,2,700.0,Freehold,18.0,492.0,Apartment,1.0,,Non Bumi Lot,Penang,22.0,6,0,0,0,0,0,0,0,1,1,,1,0,0,0,0,0,0,1,1,0,1,0,1,1,273000.0000000002
3,2,947.0,Freehold,14.0,248.0,Condominium,,Medium,Bumi Lot,Selangor,,5,0,0,1,0,0,0,0,0,1,2.0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,298000.00000000023
4,2,1062.0,Freehold,25.0,588.0,Service Residence,1.0,Low,Non Bumi Lot,Selangor,18.0,8,1,1,1,1,0,0,1,1,1,1.0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,420000.00000000023
3,2,800.0,Freehold,21.0,406.0,Condominium,,,Non Bumi Lot,Penang,25.0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319999.9999999998
3,2,960.0,Freehold,12.0,480.0,Condominium,1.0,Medium,Non Bumi Lot,Selangor,23.0,11,0,0,0,0,1,0,0,1,1,2.0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,340000.00000000006
1,1,513.0,Freehold,21.0,780.0,Service Residence,1.0,High,Non Bumi Lot,Johor,,13,0,0,0,0,0,0,0,1,1,3.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,279999.9999999998
3,2,1019.0,Freehold,36.0,981.0,Condominium,,,Non Bumi Lot,Kuala Lumpur,8.0,8,1,1,1,1,0,1,0,1,1,,1,0,1,1,0,0,1,1,1,0,1,0,1,0,599999.0000000001
3,2,850.0,Freehold,15.0,303.0,Apartment,1.0,Medium,Non Bumi Lot,Johor,,2,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,225000.00000000015
3,2,1376.0,Leasehold,17.0,616.0,Condominium,,Medium,Non Bumi Lot,Selangor,15.0,7,0,1,1,1,1,0,0,1,0,2.0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,450000.00000000035
3,2,750.0,Freehold,5.0,,Apartment,1.0,High,Non Bumi Lot,Selangor,,0,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000.00000000006
3,2,906.0,Leasehold,21.0,565.0,Apartment,1.0,High,Non Bumi Lot,Johor,17.0,9,0,0,0,0,0,0,0,1,0,3.0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,268000.0000000001
3,2,1131.0,Leasehold,6.0,180.0,Condominium,1.0,Low,Non Bumi Lot,Kuala Lumpur,,10,1,0,0,1,0,0,0,1,0,1.0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,400000.0000000002
3,2,700.0,Freehold,20.0,,Apartment,,High,Non Bumi Lot,Penang,17.0,6,0,0,0,0,0,0,0,1,1,3.0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,359999.99999999994
3,2,720.0,Freehold,20.0,480.0,Condominium,2.0,Medium,Non Bumi Lot,Penang,20.0,12,0,0,0,0,0,0,0,1,1,2.0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,499000.0000000004
3,2,1100.0,Leasehold,19.0,,Condominium,,,Non Bumi Lot,Kuala Lumpur,27.0,7,1,0,1,1,0,0,0,1,0,,1,0,1,0,0,0,0,1,1,1,1,0,1,0,400000.0000000002
3,2,1098.0,Leasehold,,,Apartment,,High,Non Bumi Lot,Selangor,,7,1,1,1,1,0,0,0,1,0,3.0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,99000.00000000004
3,3,1493.0,Freehold,,229.0,Condominium,2.0,,Non Bumi Lot,Kuala Lumpur,7.0,9,0,0,0,0,0,0,0,1,1,,1,1,0,1,0,1,0,1,1,1,1,0,1,0,680000.0000000001
3,2,1110.0,Freehold,,410.0,Condominium,2.0,Medium,Non Bumi Lot,Penang,2.0,7,0,0,0,0,0,0,0,1,1,2.0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,448500.0000000002
2,1,608.0,Leasehold,,,Apartment,,Low,Bumi Lot,Sabah,,2,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,264999.9999999999
2,1,600.0,Freehold,49.0,480.0,Service Residence,1.0,High,Non Bumi Lot,Penang,5.0,6,0,0,0,0,0,0,0,1,1,3.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,480000.0000000003
3,2,850.0,Freehold,15.0,,Condominium,1.0,Medium,Bumi Lot,Selangor,10.0,6,1,0,0,1,0,0,0,0,1,2.0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,299999.9999999999
3,2,883.0,Leasehold,,,Apartment,1.0,,Non Bumi Lot,Selangor,,2,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,285000.0
5,4,2293.0,Freehold,16.0,520.0,Condominium,2.0,High,Non Bumi Lot,Selangor,24.0,14,0,0,0,0,0,0,0,1,1,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,547999.9999999995
3,2,700.0,Leasehold,5.0,,Apartment,,Low,Non Bumi Lot,Selangor,,0,1,0,0,1,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000.00000000009
3,2,850.0,Freehold,,536.0,Apartment,,,Bumi Lot,Selangor,,4,1,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,1,1,0,1,0,0,0,285000.0
2,2,1268.0,Leasehold,,,Condominium,1.0,Low,Non Bumi Lot,Sabah,,11,0,0,0,0,0,0,0,1,0,1.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,597999.9999999997
1,1,452.0,Leasehold,18.0,504.0,Service Residence,,Medium,Non Bumi Lot,Selangor,7.0,8,1,1,1,1,0,0,0,1,0,2.0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,252000.00000000017
