Bedroom,Bathroom,Property Size,Tenure Type,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,State,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,price
4,2,1366.0,Leasehold,27.0,162.0,Condominium,,,Bumi Lot,Selangor,6.0,7,0,0,1,1,0,0,0,0,0,,1,0,1,0,0,0,1,1,1,0,1,0,1,0,470000
2,1,600.0,Freehold,,,Service Residence,1.0,High,Non Bumi Lot,,,6,0,0,0,0,0,0,0,1,1,3.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,480000
3,2,1000.0,Leasehold,21.0,,Apartment,2.0,Medium,Bumi Lot,Johor,,4,0,0,0,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,246000
2,3,1365.0,Freehold,,174.0,Service Residence,1.0,High,Non Bumi Lot,Penang,,10,0,0,0,0,0,0,0,1,1,3.0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,988000
4,2,1000.0,Freehold,,1000.0,Apartment,,High,Non Bumi Lot,Penang,,5,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,360000
3,2,1120.0,Freehold,14.0,204.0,Condominium,,Medium,Non Bumi Lot,Kuala Lumpur,26.0,5,1,1,1,1,0,0,1,1,1,2.0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,320000
2,2,850.0,Freehold,,,Apartment,,Medium,Bumi Lot,Johor,,9,0,0,0,0,0,0,0,0,1,2.0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,450000
3,2,850.0,Freehold,8.0,,Apartment,1.0,Medium,Non Bumi Lot,Selangor,23.0,4,0,1,1,1,0,1,1,1,1,2.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,338800
3,2,850.0,Freehold,,,Flat,,High,Non Bumi Lot,Johor,,4,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,198000
3,2,1668.0,Freehold,14.0,224.0,Condominium,2.0,High,Non Bumi Lot,Selangor,,13,1,0,0,1,0,0,1,1,1,3.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,735000
3,2,1690.0,Freehold,10.0,117.0,Apartment,2.0,Low,Non Bumi Lot,Selangor,9.0,4,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,420000
4,2,1390.0,Freehold,21.0,460.0,Service Residence,2.0,Low,Non Bumi Lot,Johor,9.0,11,0,0,0,0,0,0,0,1,1,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,470000
2,3,2600.0,Freehold,,,Service Residence,1.0,,Non Bumi Lot,Penang,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080000
3,2,750.0,Leasehold,,,Apartment,,Low,Bumi Lot,Selangor,,6,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,265000
3,2,850.0,Freehold,,,Apartment,2.0,Medium,Bumi Lot,Selangor,,11,0,0,0,0,0,0,0,0,1,2.0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,380000
3,2,700.0,Freehold,18.0,136.0,Condominium,1.0,Medium,Non Bumi Lot,Penang,29.0,4,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,330000
3,2,1200.0,Leasehold,,228.0,Service Residence,1.0,Medium,Bumi Lot,Selangor,,5,0,0,0,0,0,0,0,0,0,2.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,290000
3,2,800.0,Leasehold,6.0,672.0,Apartment,2.0,Medium,Non Bumi Lot,Penang,29.0,2,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,298000
4,2,1066.0,Freehold,12.0,136.0,Condominium,2.0,High,Non Bumi Lot,Selangor,3.0,6,1,1,0,1,0,0,0,1,1,3.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,680000
4,3,1547.0,Freehold,14.0,,Condominium,,Low,Non Bumi Lot,Selangor,,5,1,0,1,1,1,0,0,1,1,1.0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,710000
3,2,907.0,Leasehold,12.0,,Condominium,1.0,Medium,Non Bumi Lot,Selangor,,7,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,255000
5,4,3900.0,Freehold,33.0,388.0,Condominium,3.0,High,Non Bumi Lot,Kuala Lumpur,14.0,9,1,1,1,1,0,0,1,1,1,3.0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,3200000
2,2,1012.0,Freehold,18.0,600.0,Condominium,1.0,,Non Bumi Lot,Kuala Lumpur,,6,0,1,1,1,0,0,1,1,1,,1,0,0,1,0,1,0,1,1,0,1,0,0,0,370000
3,2,1936.0,Leasehold,,,Apartment,3.0,,Non Bumi Lot,Selangor,,7,0,0,0,1,0,0,1,1,0,,0,0,1,0,1,0,1,1,1,0,1,0,1,0,470000
2,1,788.0,Leasehold,,,Service Residence,,High,Non Bumi Lot,Sarawak,,0,0,0,0,0,0,0,0,1,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000
3,2,1254.0,Freehold,44.0,378.0,Condominium,2.0,Medium,Non Bumi Lot,Penang,5.0,9,0,0,0,0,0,0,0,1,1,2.0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,825000
3,2,1184.0,Freehold,,,Apartment,,,Non Bumi Lot,Johor,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338000
4,2,1300.0,Freehold,19.0,114.0,Condominium,2.0,,Non Bumi Lot,Penang,8.0,14,0,0,0,0,0,0,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,730000
3,2,1012.0,Freehold,5.0,,Apartment,1.0,Low,Non Bumi Lot,Selangor,,5,0,0,0,0,0,0,0,1,1,1.0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,365000
3,2,1097.0,Freehold,22.0,188.0,Apartment,1.0,High,Non Bumi Lot,Johor,15.0,0,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490000
